title,genres,vote_average
Toy Story,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",7.7
Jumanji,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.9
Grumpier Old Men,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",6.5
Waiting to Exhale,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.1
Father of the Bride Part II,"[{'id': 35, 'name': 'Comedy'}]",5.7
Heat,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.7
Sabrina,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.2
Tom and Huck,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",5.4
Sudden Death,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",5.5
GoldenEye,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.6
The American President,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5
Dracula: Dead and Loving It,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",5.7
Balto,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",7.1
Nixon,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",7.1
Cutthroat Island,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",5.7
Casino,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.8
Sense and Sensibility,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.2
Four Rooms,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",6.5
Ace Ventura: When Nature Calls,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",6.1
Money Train,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",5.4
Get Shorty,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.4
Copycat,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.5
Assassins,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.0
Powder,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.3
