name,movieId
Toy Story,1
Jumanji,2
Grumpier Old Men,3
Waiting to Exhale,4
Father of the Bride Part II,5
Heat,6
Sabrina,7
Tom and Huck,8
Sudden Death,9
GoldenEye,10
"American President, The",11
Dracula: Dead and Loving It,12
Balto,13
Nixon,14
Cutthroat Island,15
Casino,16
Sense and Sensibility,17
Four Rooms,18
Ace Ventura: When Nature Calls,19
Money Train,20
Get Shorty,21
Copycat,22
Assassins,23
Powder,24
Leaving Las Vegas,25
Othello,26
Now and Then,27
Persuasion,28
"City of Lost Children, The",29
Shanghai Triad,30
Dangerous Minds,31
Twelve Monkeys,32
Wings of Courage,33
Babe,34
Carrington,35
Dead Man Walking,36
Across the Sea of Time,37
It Takes Two,38
Clueless,39
"Cry, the Beloved Country",40
Richard III,41
Dead Presidents,42
Restoration,43
Mortal Kombat,44
To Die For,45
How to Make an American Quilt,46
Seven,47
Pocahontas,48
When Night Is Falling,49
"Usual Suspects, The",50
Guardian Angel,51
Mighty Aphrodite,52
Lamerica,53
"Big Green, The",54
Georgia,55
Kids of the Round Table,56
Home for the Holidays,57
"Postman, The",58
"Confessional, The",59
"Indian in the Cupboard, The",60
Eye for an Eye,61
Mr. Holland's Opus,62
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,63
Two if by Sea,64
Bio-Dome,65
Lawnmower Man 2: Beyond Cyberspace,66
Two Bits,67
French Twist,68
Friday,69
From Dusk Till Dawn,70
Fair Game,71
Kicking and Screaming,72
"Misérables, Les",73
Bed of Roses,74
Big Bully,75
Screamers,76
Nico Icon,77
"Crossing Guard, The",78
"Juror, The",79
"White Balloon, The",80
Things to Do in Denver When You're Dead,81
Antonia's Line,82
Once Upon a Time... When We Were Colored,83
Last Summer in the Hamptons,84
Angels and Insects,85
White Squall,86
Dunston Checks In,87
Black Sheep,88
Nick of Time,89
The Journey of August King,90
Mary Reilly,92
Vampire in Brooklyn,93
Beautiful Girls,94
Broken Arrow,95
In the Bleak Midwinter,96
Hate,97
Shopping,98
Heidi Fleiss: Hollywood Madam,99
City Hall,100
Bottle Rocket,101
Mr. Wrong,102
Unforgettable,103
Happy Gilmore,104
"Bridges of Madison County, The",105
Nobody Loves Me,106
Muppet Treasure Island,107
Catwalk,108
Headless Body in Topless Bar,109
Braveheart,110
Taxi Driver,111
Rumble in the Bronx,112
Before and After,113
Margaret's Museum,114
Happiness Is in the Field,115
Anne Frank Remembered,116
"Young Poisoner's Handbook, The",117
If Lucy Fell,118
"Steal Big, Steal Little",119
Race the Sun,120
"Boys of St. Vincent, The",121
Boomerang,122
Chungking Express,123
"Star Maker, The",124
Flirting With Disaster,125
"NeverEnding Story III, The",126
"Silences of the Palace, The",127
Jupiter's Wife,128
Pie in the Sky,129
Angela,130
Frankie Starlight,131
Jade,132
Nueba Yol,133
Sonic Outlaws,134
Down Periscope,135
From the Journals of Jean Seberg,136
Man of the Year,137
"Neon Bible, The",138
Target,139
Up Close and Personal,140
"Birdcage, The",141
Shadows,142
Gospa,143
"Brothers McMullen, The",144
Bad Boys,145
"Amazing Panda Adventure, The",146
"Basketball Diaries, The",147
"Awfully Big Adventure, An",148
Amateur,149
Apollo 13,150
Rob Roy,151
"Addiction, The",152
Batman Forever,153
Beauty of the Day,154
Beyond Rangoon,155
Blue in the Face,156
Canadian Bacon,157
Casper,158
Clockers,159
Congo,160
Crimson Tide,161
Crumb,162
Desperado,163
Devil in a Blue Dress,164
Die Hard: With a Vengeance,165
"Doom Generation, The",166
Feast of July,167
First Knight,168
Free Willy 2: The Adventure Home,169
Hackers,170
Jeffrey,171
Johnny Mnemonic,172
Judge Dredd,173
Jury Duty,174
Kids,175
Living in Oblivion,176
Lord of Illusions,177
Love & Human Remains,178
Mad Love,179
Mallrats,180
Mighty Morphin Power Rangers: The Movie,181
Moonlight and Valentino,182
Mute Witness,183
Nadja,184
"Net, The",185
Nine Months,186
Party Girl,187
"Prophecy, The",188
Reckless,189
Safe,190
"Scarlet Letter, The",191
The Show,192
Showgirls,193
Smoke,194
Something to Talk About,195
Species,196
"Stars Fell on Henrietta, The",197
Strange Days,198
"Umbrellas of Cherbourg, The",199
"Tie That Binds, The",200
Three Wishes,201
Total Eclipse,202
"To Wong Foo, Thanks for Everything! Julie Newmar",203
Under Siege 2: Dark Territory,204
Unstrung Heroes,205
Unzipped,206
"Walk in the Clouds, A",207
Waterworld,208
White Man's Burden,209
Wild Bill,210
"Browning Version, The",211
Bushwhacked,212
Burnt by the Sun,213
Before the Rain,214
Before Sunrise,215
Billy Madison,216
"Babysitter, The",217
Boys on the Side,218
"Cure, The",219
Castle Freak,220
Circle of Friends,222
Clerks,223
Don Juan DeMarco,224
Disclosure,225
Dream Man,226
Drop Zone,227
Destiny Turns on the Radio,228
Death and the Maiden,229
Dolores Claiborne,230
Dumb & Dumber,231
Eat Drink Man Woman,232
Exotica,233
Exit to Eden,234
Ed Wood,235
French Kiss,236
Forget Paris,237
Far From Home: The Adventures of Yellow Dog,238
"Goofy Movie, A",239
Hideaway,240
Fluke,241
Farinelli: il castrato,242
Gordy,243
Gumby: The Movie,244
The Glass Shield,245
Hoop Dreams,246
Heavenly Creatures,247
Houseguest,248
Immortal Beloved,249
Heavyweights,250
"Hunted, The",251
I.Q.,252
Interview with the Vampire: The Vampire Chronicles,253
Jefferson in Paris,254
"Jerky Boys, The",255
Junior,256
Just Cause,257
"Kid in King Arthur's Court, A",258
Kiss of Death,259
Star Wars: Episode IV - A New Hope,260
Little Women,261
"Little Princess, A",262
Ladybird Ladybird,263
"Enfer, L'",264
Like Water for Chocolate,265
Legends of the Fall,266
Major Payne,267
Little Odessa,268
My Crazy Life,269
Love Affair,270
Losing Isaiah,271
"Madness of King George, The",272
Mary Shelley's Frankenstein,273
Man of the House,274
Mixed Nuts,275
Milk Money,276
Miracle on 34th Street,277
Miami Rhapsody,278
My Family,279
Murder in the First,280
Nobody's Fool,281
Nell,282
New Jersey Drive,283
New York Cop,284
Beyond Bedlam,285
Nemesis 2: Nebula,286
Nina Takes a Lover,287
Natural Born Killers,288
Only You,289
Once Were Warriors,290
Outbreak,292
Léon: The Professional,293
"Perez Family, The",294
"Pyromaniac's Love Story, A",295
Pulp Fiction,296
Panther,297
Pushing Hands,298
Priest,299
Quiz Show,300
Picture Bride,301
Queen Margot,302
"Quick and the Dead, The",303
Roommates,304
Ready to Wear,305
Three Colors: Red,306
Three Colors: Blue,307
Three Colors: White,308
"Red Firecracker, Green Firecracker",309
Rent-a-Kid,310
Relative Fear,311
Stuart Saves His Family,312
"Swan Princess, The",313
"Secret of Roan Inish, The",314
"Specialist, The",315
Stargate,316
"Santa Clause, The",317
"Shawshank Redemption, The",318
Shallow Grave,319
Suture,320
Strawberry and Chocolate,321
Swimming with Sharks,322
"Sum of Us, The",324
National Lampoon's Senior Trip,325
To Live,326
Tank Girl,327
Tales from the Crypt Presents: Demon Knight,328
Star Trek: Generations,329
Tales from the Hood,330
Tom & Viv,331
Village of the Damned,332
Tommy Boy,333
Vanya on 42nd Street,334
Underneath,335
"Walking Dead, The",336
What's Eating Gilbert Grape,337
Virtuosity,338
While You Were Sleeping,339
"War, The",340
Double Happiness,341
Muriel's Wedding,342
"Baby-Sitters Club, The",343
Ace Ventura: Pet Detective,344
"Adventures of Priscilla, Queen of the Desert, The",345
Backbeat,346
Bitter Moon,347
Bullets Over Broadway,348
Clear and Present Danger,349
"Client, The",350
"Corrina, Corrina",351
Crooklyn,352
"Crow, The",353
Cobb,354
"Flintstones, The",355
Forrest Gump,356
Four Weddings and a Funeral,357
Higher Learning,358
I Like It Like That,359
I Love Trouble,360
It Could Happen to You,361
"Jungle Book, The",362
"Wonderful, Horrible Life of Leni Riefenstahl, The",363
"Lion King, The",364
Little Buddha,365
Wes Craven's New Nightmare,366
"Mask, The",367
Maverick,368
Mrs. Parker and the Vicious Circle,369
Naked Gun 33 1/3: The Final Insult,370
"Paper, The",371
Reality Bites,372
Red Rock West,373
Richie Rich,374
Safe Passage,375
"River Wild, The",376
Speed,377
Speechless,378
Timecop,379
True Lies,380
When a Man Loves a Woman,381
Wolf,382
Wyatt Earp,383
Bad Company,384
"Man of No Importance, A",385
S.F.W.,386
"Low Down Dirty Shame, A",387
Boys Life,388
"Colonel Chabert, Le",389
Faster Pussycat! Kill! Kill!,390
Jason's Lyric,391
"Secret Adventures of Tom Thumb, The",392
Street Fighter,393
Coldblooded,394
Desert Winds,395
Fall Time,396
"Fear, The",397
Frank and Ollie,398
Girl in the Cadillac,399
Homage,400
Mirage,401
Open Season,402
Two Crimes,403
Brother Minister: The Assassination of Malcolm X,404
Highlander III: The Sorcerer,405
Federal Hill,406
In the Mouth of Madness,407
8 Seconds,408
Above the Rim,409
Addams Family Values,410
Martin Lawrence: You So Crazy,411
"Age of Innocence, The",412
Airheads,413
"Air Up There, The",414
Another Stakeout,415
Bad Girls,416
Barcelona,417
Being Human,418
"Beverly Hillbillies, The",419
Beverly Hills Cop III,420
Black Beauty,421
Blink,422
Blown Away,423
Blue Chips,424
Blue Sky,425
Body Snatchers,426
Boxing Helena,427
"Bronx Tale, A",428
Cabin Boy,429
Calendar Girl,430
Carlito's Way,431
City Slickers II: The Legend of Curly's Gold,432
Clean Slate,433
Cliffhanger,434
Coneheads,435
Color of Night,436
Cops and Robbersons,437
"Cowboy Way, The",438
Dangerous Game,439
Dave,440
Dazed and Confused,441
Demolition Man,442
"Endless Summer 2, The",443
Even Cowgirls Get the Blues,444
Fatal Instinct,445
Farewell My Concubine,446
"Favor, The",447
Fearless,448
Fear of a Black Hat,449
With Honors,450
Flesh and Bone,451
Widows' Peak,452
For Love or Money,453
"Firm, The",454
Free Willy,455
Fresh,456
"Fugitive, The",457
Geronimo: An American Legend,458
"Getaway, The",459
Getting Even with Dad,460
Go Fish,461
"Good Man in Africa, A",462
Guilty as Sin,463
Hard Target,464
Heaven & Earth,465
Hot Shots! Part Deux,466
Live Nude Girls,467
"Englishman Who Went Up a Hill But Came Down a Mountain, The",468
"House of the Spirits, The",469
House Party 3,470
"Hudsucker Proxy, The",471
I'll Do Anything,472
In the Army Now,473
In the Line of Fire,474
In the Name of the Father,475
"Inkwell, The",476
What's Love Got to Do with It?,477
Jimmy Hollywood,478
Judgment Night,479
Jurassic Park,480
Kalifornia,481
Killing Zoe,482
King of the Hill,483
Lassie,484
Last Action Hero,485
Life with Mikey,486
Lightning Jack,487
M. Butterfly,488
Made in America,489
Malice,490
"Man Without a Face, The",491
Manhattan Murder Mystery,492
Menace II Society,493
Executive Decision,494
In the Realm of the Senses,495
What Happened Was...,496
Much Ado About Nothing,497
Mr. Jones,498
Mr. Wonderful,499
Mrs. Doubtfire,500
Naked,501
"Next Karate Kid, The",502
"New Age, The",503
No Escape,504
North,505
Orlando,506
"Perfect World, A",507
Philadelphia,508
"Piano, The",509
Poetic Justice,510
"Program, The",511
"Puppet Masters, The",512
Radioland Murders,513
"Ref, The",514
"Remains of the Day, The",515
Renaissance Man,516
Rising Sun,517
"Road to Wellville, The",518
RoboCop 3,519
Robin Hood: Men in Tights,520
Romeo Is Bleeding,521
Romper Stomper,522
Ruby in Paradise,523
Rudy,524
"Saint of Fort Washington, The",525
Savage Nights,526
Schindler's List,527
"Scout, The",528
Searching for Bobby Fischer,529
Second Best,530
"Secret Garden, The",531
Serial Mom,532
"Shadow, The",533
Shadowlands,534
Short Cuts,535
"Simple Twist of Fate, A",536
Sirens,537
Six Degrees of Separation,538
Sleepless in Seattle,539
Sliver,540
Blade Runner,541
Son in Law,542
So I Married an Axe Murderer,543
Striking Distance,544
Super Mario Bros.,546
Surviving the Game,547
Terminal Velocity,548
Thirty-Two Short Films About Glenn Gould,549
Threesome,550
"Nightmare Before Christmas, The",551
"Three Musketeers, The",552
Tombstone,553
Trial by Jury,554
True Romance,555
"War Room, The",556
"Pagemaster, The",558
"Paris, France",559
"Beans of Egypt, Maine, The",560
Killer,561
Welcome to the Dollhouse,562
Germinal,563
Chasers,564
Cronos,565
Naked in New York,566
Kika,567
Bhaji on the Beach,568
Little Big League,569
"Slingshot, The",570
"Wedding Gift, The",571
Foreign Student,572
"Ciao, Professore!",573
Spanking the Monkey,574
"Little Rascals, The",575
Fausto,576
Andre,577
"Escort, The",579
Princess Caraboo,580
"Celluloid Closet, The",581
Métisse,582
Dear Diary,583
I Don't Want to Talk About It,584
"Brady Bunch Movie, The",585
Home Alone,586
Ghost,587
Aladdin,588
Terminator 2: Judgment Day,589
Dances with Wolves,590
Tough and Deadly,591
Batman,592
"Silence of the Lambs, The",593
Snow White and the Seven Dwarfs,594
Beauty and the Beast,595
Pinocchio,596
Pretty Woman,597
Window to Paris,598
"Wild Bunch, The",599
Love and a .45,600
"Wooden Man's Bride, The",601
"Great Day in Harlem, A",602
"Bye Bye, Love",603
Criminals,604
One Fine Day,605
Candyman: Farewell to the Flesh,606
Century,607
Fargo,608
Homeward Bound II: Lost in San Francisco,609
Heavy Metal,610
Hellraiser: Bloodline,611
"Pallbearer, The",612
Jane Eyre,613
Loaded,614
Bread and Chocolate,615
"Aristocats, The",616
"Flower of My Secret, The",617
Two Much,618
Ed,619
Scream of Stone,620
My Favorite Season,621
"Modern Affair, A",623
Asfour Stah,625
"Thin Line Between Love and Hate, A",626
"Last Supper, The",627
Primal Fear,628
Rude,629
Carried Away,630
All Dogs Go to Heaven 2,631
Land and Freedom,632
Denise Calls Up,633
Theodore Rex,634
"Family Thing, A",635
Frisk,636
Sgt. Bilko,637
Jack and Sarah,638
Girl 6,639
Diabolique,640
"Little Indian, Big City",641
Roula,642
Peanuts - Die Bank zahlt alles,643
Happy Weekend,644
Nelly & Monsieur Arnaud,645
Courage Under Fire,647
Mission: Impossible,648
Cold Fever,649
Moll Flanders,650
"Superweib, Das",651
"301, 302",652
Dragonheart,653
And Nobody Weeps for Me,654
My Mother's Courage,655
Eddie,656
Yankee Zulu,657
Billy's Holiday,658
Purple Noon,659
August,660
James and the Giant Peach,661
Fear,662
Kids in the Hall: Brain Candy,663
Faithful,664
Underground,665
All Things Fair,666
Bloodsport 2,667
Song of the Little Road,668
"World of Apu, The",670
Mystery Science Theater 3000: The Movie,671
Tarantella,672
Space Jam,673
Barbarella,674
Hostile Intentions,675
They Bite,676
Some Folks Call It a Sling Blade,678
"Run of the Country, The",679
Alphaville,680
Coup de torchon,681
Tigrero: A Film That Was Never Made,682
"Eye of Vichy, The",683
Windows,684
It's My Party,685
Country Life,687
Operation Dumbo Drop,688
"Promise, The",690
Mrs. Winterbourne,691
Solo,692
Under the Domim Tree,693
"Substitute, The",694
True Crime,695
Butterfly Kiss,696
Feeling Minnesota,697
Delta of Venus,698
