name,movieId
Toy Story (1995),1
Jumanji (1995),2
Grumpier Old Men (1995),3
Waiting to Exhale (1995),4
Father of the Bride Part II (1995),5
Heat (1995),6
Sabrina (1995),7
Tom and Huck (1995),8
Sudden Death (1995),9
GoldenEye (1995),10
"American President, The (1995)",11
Dracula: Dead and Loving It (1995),12
Balto (1995),13
Nixon (1995),14
Cutthroat Island (1995),15
Casino (1995),16
Sense and Sensibility (1995),17
Four Rooms (1995),18
Ace Ventura: When Nature Calls (1995),19
Money Train (1995),20
Get Shorty (1995),21
Copycat (1995),22
Assassins (1995),23
Powder (1995),24
Leaving Las Vegas (1995),25
Othello (1995),26
Now and Then (1995),27
Persuasion (1995),28
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",29
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),30
Dangerous Minds (1995),31
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),32
Wings of Courage (1995),33
Babe (1995),34
Carrington (1995),35
Dead Man Walking (1995),36
Across the Sea of Time (1995),37
It Takes Two (1995),38
Clueless (1995),39
"Cry, the Beloved Country (1995)",40
Richard III (1995),41
Dead Presidents (1995),42
Restoration (1995),43
Mortal Kombat (1995),44
To Die For (1995),45
How to Make an American Quilt (1995),46
Seven (a.k.a. Se7en) (1995),47
Pocahontas (1995),48
When Night Is Falling (1995),49
"Usual Suspects, The (1995)",50
Guardian Angel (1994),51
Mighty Aphrodite (1995),52
Lamerica (1994),53
"Big Green, The (1995)",54
Georgia (1995),55
Kids of the Round Table (1995),56
Home for the Holidays (1995),57
"Postman, The (Postino, Il) (1994)",58
"Confessional, The (Confessionnal, Le) (1995)",59
"Indian in the Cupboard, The (1995)",60
Eye for an Eye (1996),61
Mr. Holland's Opus (1995),62
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),63
Two if by Sea (1996),64
Bio-Dome (1996),65
Lawnmower Man 2: Beyond Cyberspace (1996),66
Two Bits (1995),67
French Twist (Gazon maudit) (1995),68
Friday (1995),69
From Dusk Till Dawn (1996),70
Fair Game (1995),71
Kicking and Screaming (1995),72
"Misérables, Les (1995)",73
Bed of Roses (1996),74
Big Bully (1996),75
Screamers (1995),76
Nico Icon (1995),77
"Crossing Guard, The (1995)",78
"Juror, The (1996)",79
"White Balloon, The (Badkonake sefid) (1995)",80
Things to Do in Denver When You're Dead (1995),81
Antonia's Line (Antonia) (1995),82
Once Upon a Time... When We Were Colored (1995),83
Last Summer in the Hamptons (1995),84
Angels and Insects (1995),85
White Squall (1996),86
Dunston Checks In (1996),87
Black Sheep (1996),88
Nick of Time (1995),89
The Journey of August King (1995),90
Mary Reilly (1996),92
Vampire in Brooklyn (1995),93
Beautiful Girls (1996),94
Broken Arrow (1996),95
In the Bleak Midwinter (1995),96
"Hate (Haine, La) (1995)",97
Shopping (1994),98
Heidi Fleiss: Hollywood Madam (1995),99
City Hall (1996),100
Bottle Rocket (1996),101
Mr. Wrong (1996),102
Unforgettable (1996),103
Happy Gilmore (1996),104
"Bridges of Madison County, The (1995)",105
Nobody Loves Me (Keiner liebt mich) (1994),106
Muppet Treasure Island (1996),107
Catwalk (1996),108
Headless Body in Topless Bar (1995),109
Braveheart (1995),110
Taxi Driver (1976),111
Rumble in the Bronx (Hont faan kui) (1995),112
Before and After (1996),113
Margaret's Museum (1995),114
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",115
Anne Frank Remembered (1995),116
"Young Poisoner's Handbook, The (1995)",117
If Lucy Fell (1996),118
"Steal Big, Steal Little (1995)",119
Race the Sun (1996),120
"Boys of St. Vincent, The (1992)",121
Boomerang (1992),122
Chungking Express (Chung Hing sam lam) (1994),123
"Star Maker, The (Uomo delle stelle, L') (1995)",124
Flirting With Disaster (1996),125
"NeverEnding Story III, The (1994)",126
"Silences of the Palace, The (Saimt el Qusur) (1994)",127
Jupiter's Wife (1994),128
Pie in the Sky (1996),129
Angela (1995),130
Frankie Starlight (1995),131
Jade (1995),132
Nueba Yol (1995),133
Sonic Outlaws (1995),134
Down Periscope (1996),135
From the Journals of Jean Seberg (1995),136
Man of the Year (1995),137
"Neon Bible, The (1995)",138
Target (1995),139
Up Close and Personal (1996),140
"Birdcage, The (1996)",141
Shadows (Cienie) (1988),142
Gospa (1995),143
"Brothers McMullen, The (1995)",144
Bad Boys (1995),145
"Amazing Panda Adventure, The (1995)",146
"Basketball Diaries, The (1995)",147
"Awfully Big Adventure, An (1995)",148
Amateur (1994),149
Apollo 13 (1995),150
Rob Roy (1995),151
"Addiction, The (1995)",152
Batman Forever (1995),153
Beauty of the Day (Belle de jour) (1967),154
Beyond Rangoon (1995),155
Blue in the Face (1995),156
Canadian Bacon (1995),157
Casper (1995),158
Clockers (1995),159
Congo (1995),160
Crimson Tide (1995),161
Crumb (1994),162
Desperado (1995),163
Devil in a Blue Dress (1995),164
Die Hard: With a Vengeance (1995),165
"Doom Generation, The (1995)",166
Feast of July (1995),167
First Knight (1995),168
Free Willy 2: The Adventure Home (1995),169
Hackers (1995),170
Jeffrey (1995),171
Johnny Mnemonic (1995),172
Judge Dredd (1995),173
Jury Duty (1995),174
Kids (1995),175
Living in Oblivion (1995),176
Lord of Illusions (1995),177
Love & Human Remains (1993),178
Mad Love (1995),179
Mallrats (1995),180
Mighty Morphin Power Rangers: The Movie (1995),181
Moonlight and Valentino (1995),182
Mute Witness (1994),183
Nadja (1994),184
"Net, The (1995)",185
Nine Months (1995),186
Party Girl (1995),187
"Prophecy, The (1995)",188
Reckless (1995),189
Safe (1995),190
"Scarlet Letter, The (1995)",191
The Show (1995),192
Showgirls (1995),193
Smoke (1995),194
Something to Talk About (1995),195
Species (1995),196
"Stars Fell on Henrietta, The (1995)",197
Strange Days (1995),198
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",199
"Tie That Binds, The (1995)",200
Three Wishes (1995),201
Total Eclipse (1995),202
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",203
Under Siege 2: Dark Territory (1995),204
Unstrung Heroes (1995),205
Unzipped (1995),206
"Walk in the Clouds, A (1995)",207
Waterworld (1995),208
White Man's Burden (1995),209
Wild Bill (1995),210
"Browning Version, The (1994)",211
Bushwhacked (1995),212
Burnt by the Sun (Utomlyonnye solntsem) (1994),213
Before the Rain (Pred dozhdot) (1994),214
Before Sunrise (1995),215
Billy Madison (1995),216
"Babysitter, The (1995)",217
Boys on the Side (1995),218
"Cure, The (1995)",219
Castle Freak (1995),220
Circle of Friends (1995),222
Clerks (1994),223
Don Juan DeMarco (1995),224
Disclosure (1994),225
Dream Man (1995),226
Drop Zone (1994),227
Destiny Turns on the Radio (1995),228
Death and the Maiden (1994),229
Dolores Claiborne (1995),230
Dumb & Dumber (Dumb and Dumber) (1994),231
Eat Drink Man Woman (Yin shi nan nu) (1994),232
Exotica (1994),233
Exit to Eden (1994),234
Ed Wood (1994),235
French Kiss (1995),236
Forget Paris (1995),237
Far From Home: The Adventures of Yellow Dog (1995),238
"Goofy Movie, A (1995)",239
Hideaway (1995),240
Fluke (1995),241
Farinelli: il castrato (1994),242
Gordy (1995),243
Gumby: The Movie (1995),244
The Glass Shield (1994),245
Hoop Dreams (1994),246
Heavenly Creatures (1994),247
Houseguest (1994),248
Immortal Beloved (1994),249
Heavyweights (Heavy Weights) (1995),250
"Hunted, The (1995)",251
I.Q. (1994),252
Interview with the Vampire: The Vampire Chronicles (1994),253
Jefferson in Paris (1995),254
"Jerky Boys, The (1995)",255
Junior (1994),256
Just Cause (1995),257
"Kid in King Arthur's Court, A (1995)",258
Kiss of Death (1995),259
Star Wars: Episode IV - A New Hope (1977),260
Little Women (1994),261
"Little Princess, A (1995)",262
Ladybird Ladybird (1994),263
"Enfer, L' (1994)",264
Like Water for Chocolate (Como agua para chocolate) (1992),265
Legends of the Fall (1994),266
Major Payne (1995),267
Little Odessa (1994),268
My Crazy Life (Mi vida loca) (1993),269
Love Affair (1994),270
Losing Isaiah (1995),271
"Madness of King George, The (1994)",272
Mary Shelley's Frankenstein (Frankenstein) (1994),273
Man of the House (1995),274
Mixed Nuts (1994),275
Milk Money (1994),276
Miracle on 34th Street (1994),277
Miami Rhapsody (1995),278
My Family (1995),279
Murder in the First (1995),280
Nobody's Fool (1994),281
Nell (1994),282
New Jersey Drive (1995),283
New York Cop (Nyû Yôku no koppu) (1993),284
Beyond Bedlam (1993),285
Nemesis 2: Nebula (1995),286
Nina Takes a Lover (1994),287
Natural Born Killers (1994),288
Only You (1994),289
Once Were Warriors (1994),290
Outbreak (1995),292
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),293
"Perez Family, The (1995)",294
"Pyromaniac's Love Story, A (1995)",295
Pulp Fiction (1994),296
Panther (1995),297
Pushing Hands (Tui shou) (1992),298
Priest (1994),299
Quiz Show (1994),300
Picture Bride (Bijo photo) (1994),301
"Queen Margot (Reine Margot, La) (1994)",302
"Quick and the Dead, The (1995)",303
Roommates (1995),304
Ready to Wear (Pret-A-Porter) (1994),305
Three Colors: Red (Trois couleurs: Rouge) (1994),306
Three Colors: Blue (Trois couleurs: Bleu) (1993),307
Three Colors: White (Trzy kolory: Bialy) (1994),308
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",309
Rent-a-Kid (1995),310
Relative Fear (1994),311
Stuart Saves His Family (1995),312
"Swan Princess, The (1994)",313
"Secret of Roan Inish, The (1994)",314
"Specialist, The (1994)",315
Stargate (1994),316
"Santa Clause, The (1994)",317
"Shawshank Redemption, The (1994)",318
Shallow Grave (1994),319
Suture (1993),320
Strawberry and Chocolate (Fresa y chocolate) (1993),321
Swimming with Sharks (1995),322
"Sum of Us, The (1994)",324
National Lampoon's Senior Trip (1995),325
To Live (Huozhe) (1994),326
Tank Girl (1995),327
Tales from the Crypt Presents: Demon Knight (1995),328
Star Trek: Generations (1994),329
Tales from the Hood (1995),330
Tom & Viv (1994),331
Village of the Damned (1995),332
Tommy Boy (1995),333
Vanya on 42nd Street (1994),334
Underneath (1995),335
"Walking Dead, The (1995)",336
What's Eating Gilbert Grape (1993),337
Virtuosity (1995),338
While You Were Sleeping (1995),339
"War, The (1994)",340
Double Happiness (1994),341
Muriel's Wedding (1994),342
"Baby-Sitters Club, The (1995)",343
Ace Ventura: Pet Detective (1994),344
"Adventures of Priscilla, Queen of the Desert, The (1994)",345
Backbeat (1993),346
Bitter Moon (1992),347
Bullets Over Broadway (1994),348
Clear and Present Danger (1994),349
"Client, The (1994)",350
"Corrina, Corrina (1994)",351
Crooklyn (1994),352
"Crow, The (1994)",353
Cobb (1994),354
"Flintstones, The (1994)",355
Forrest Gump (1994),356
Four Weddings and a Funeral (1994),357
Higher Learning (1995),358
I Like It Like That (1994),359
I Love Trouble (1994),360
It Could Happen to You (1994),361
"Jungle Book, The (1994)",362
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",363
"Lion King, The (1994)",364
Little Buddha (1993),365
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",366
"Mask, The (1994)",367
Maverick (1994),368
Mrs. Parker and the Vicious Circle (1994),369
Naked Gun 33 1/3: The Final Insult (1994),370
"Paper, The (1994)",371
Reality Bites (1994),372
Red Rock West (1992),373
Richie Rich (1994),374
Safe Passage (1994),375
"River Wild, The (1994)",376
Speed (1994),377
Speechless (1994),378
Timecop (1994),379
True Lies (1994),380
When a Man Loves a Woman (1994),381
Wolf (1994),382
Wyatt Earp (1994),383
Bad Company (1995),384
"Man of No Importance, A (1994)",385
S.F.W. (1994),386
"Low Down Dirty Shame, A (1994)",387
Boys Life (1995),388
"Colonel Chabert, Le (1994)",389
Faster Pussycat! Kill! Kill! (1965),390
Jason's Lyric (1994),391
"Secret Adventures of Tom Thumb, The (1993)",392
Street Fighter (1994),393
Coldblooded (1995),394
Desert Winds (1995),395
Fall Time (1995),396
"Fear, The (1995)",397
Frank and Ollie (1995),398
Girl in the Cadillac (1995),399
Homage (1995),400
Mirage (1995),401
Open Season (1996),402
Two Crimes (Dos crímenes) (1995),403
Brother Minister: The Assassination of Malcolm X (1994),404
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),405
Federal Hill (1994),406
In the Mouth of Madness (1995),407
8 Seconds (1994),408
Above the Rim (1994),409
Addams Family Values (1993),410
Martin Lawrence: You So Crazy (1994),411
"Age of Innocence, The (1993)",412
Airheads (1994),413
"Air Up There, The (1994)",414
Another Stakeout (1993),415
Bad Girls (1994),416
Barcelona (1994),417
Being Human (1993),418
"Beverly Hillbillies, The (1993)",419
Beverly Hills Cop III (1994),420
Black Beauty (1994),421
Blink (1994),422
Blown Away (1994),423
Blue Chips (1994),424
Blue Sky (1994),425
Body Snatchers (1993),426
Boxing Helena (1993),427
"Bronx Tale, A (1993)",428
Cabin Boy (1994),429
Calendar Girl (1993),430
Carlito's Way (1993),431
City Slickers II: The Legend of Curly's Gold (1994),432
Clean Slate (1994),433
Cliffhanger (1993),434
Coneheads (1993),435
Color of Night (1994),436
Cops and Robbersons (1994),437
"Cowboy Way, The (1994)",438
Dangerous Game (1993),439
Dave (1993),440
Dazed and Confused (1993),441
Demolition Man (1993),442
"Endless Summer 2, The (1994)",443
Even Cowgirls Get the Blues (1993),444
Fatal Instinct (1993),445
Farewell My Concubine (Ba wang bie ji) (1993),446
"Favor, The (1994)",447
Fearless (1993),448
Fear of a Black Hat (1994),449
With Honors (1994),450
Flesh and Bone (1993),451
Widows' Peak (1994),452
For Love or Money (1993),453
"Firm, The (1993)",454
Free Willy (1993),455
Fresh (1994),456
"Fugitive, The (1993)",457
Geronimo: An American Legend (1993),458
"Getaway, The (1994)",459
Getting Even with Dad (1994),460
Go Fish (1994),461
"Good Man in Africa, A (1994)",462
Guilty as Sin (1993),463
Hard Target (1993),464
Heaven & Earth (1993),465
Hot Shots! Part Deux (1993),466
Live Nude Girls (1995),467
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",468
"House of the Spirits, The (1993)",469
House Party 3 (1994),470
"Hudsucker Proxy, The (1994)",471
I'll Do Anything (1994),472
In the Army Now (1994),473
In the Line of Fire (1993),474
In the Name of the Father (1993),475
"Inkwell, The (1994)",476
What's Love Got to Do with It? (1993),477
Jimmy Hollywood (1994),478
Judgment Night (1993),479
Jurassic Park (1993),480
Kalifornia (1993),481
Killing Zoe (1994),482
King of the Hill (1993),483
Lassie (1994),484
Last Action Hero (1993),485
Life with Mikey (1993),486
Lightning Jack (1994),487
M. Butterfly (1993),488
Made in America (1993),489
Malice (1993),490
"Man Without a Face, The (1993)",491
Manhattan Murder Mystery (1993),492
Menace II Society (1993),493
Executive Decision (1996),494
In the Realm of the Senses (Ai no corrida) (1976),495
What Happened Was... (1994),496
Much Ado About Nothing (1993),497
Mr. Jones (1993),498
Mr. Wonderful (1993),499
Mrs. Doubtfire (1993),500
Naked (1993),501
"Next Karate Kid, The (1994)",502
"New Age, The (1994)",503
No Escape (1994),504
North (1994),505
Orlando (1992),506
"Perfect World, A (1993)",507
Philadelphia (1993),508
"Piano, The (1993)",509
Poetic Justice (1993),510
"Program, The (1993)",511
